"x","y","order","group","pathGroup"
0.322916666666667,0.976303317535545,1,"n","n.1"
0.3875,0.976303317535545,2,"n","n.1"
0.389583333333333,0.843601895734597,3,"n","n.1"
0.40625,0.890995260663507,4,"n","n.1"
0.427083333333333,0.933649289099526,5,"n","n.1"
0.466666666666667,0.981042654028436,6,"n","n.1"
0.504166666666667,1,7,"n","n.1"
0.545833333333333,1,8,"n","n.1"
0.585416666666667,0.981042654028436,9,"n","n.1"
0.622916666666667,0.938388625592417,10,"n","n.1"
0.647916666666667,0.881516587677725,11,"n","n.1"
0.666666666666667,0.791469194312796,12,"n","n.1"
0.672916666666667,0.691943127962085,13,"n","n.1"
0.672916666666667,0,14,"n","n.1"
0.602083333333333,0,15,"n","n.1"
0.602083333333333,0.639810426540284,16,"n","n.1"
0.597916666666667,0.71563981042654,17,"n","n.1"
0.589583333333333,0.767772511848341,18,"n","n.1"
0.566666666666667,0.824644549763033,19,"n","n.1"
0.539583333333333,0.853080568720379,20,"n","n.1"
0.514583333333333,0.862559241706161,21,"n","n.1"
0.4875,0.85781990521327,22,"n","n.1"
0.464583333333333,0.843601895734597,23,"n","n.1"
0.435416666666667,0.805687203791469,24,"n","n.1"
0.414583333333333,0.753554502369668,25,"n","n.1"
0.402083333333333,0.687203791469194,26,"n","n.1"
0.395833333333333,0.616113744075829,27,"n","n.1"
0.395833333333333,0,28,"n","n.1"
0.322916666666667,0,29,"n","n.1"
0.322916666666667,0.971563981042654,30,"n","n.1"
0.322916666666667,0.976303317535545,31,"n","n.1"
0.295833333333333,0.527777777777778,1,"o","o.1"
0.297916666666667,0.532407407407407,2,"o","o.1"
0.302083333333333,0.652777777777778,3,"o","o.1"
0.314583333333333,0.74537037037037,4,"o","o.1"
0.327083333333333,0.800925925925926,5,"o","o.1"
0.341666666666667,0.847222222222222,6,"o","o.1"
0.36875,0.907407407407407,7,"o","o.1"
0.389583333333333,0.939814814814815,8,"o","o.1"
0.439583333333333,0.986111111111111,9,"o","o.1"
0.475,1,10,"o","o.1"
0.5375,0.99537037037037,11,"o","o.1"
0.58125,0.967592592592593,12,"o","o.1"
0.602083333333333,0.944444444444444,13,"o","o.1"
0.629166666666667,0.902777777777778,14,"o","o.1"
0.65,0.856481481481482,15,"o","o.1"
0.670833333333333,0.791666666666667,16,"o","o.1"
0.685416666666667,0.722222222222222,17,"o","o.1"
0.697916666666667,0.597222222222222,18,"o","o.1"
0.697916666666667,0.412037037037037,19,"o","o.1"
0.6875,0.291666666666667,20,"o","o.1"
0.675,0.222222222222222,21,"o","o.1"
0.664583333333333,0.185185185185185,22,"o","o.1"
0.635416666666667,0.111111111111111,23,"o","o.1"
0.6,0.0555555555555556,24,"o","o.1"
0.577083333333333,0.0324074074074074,25,"o","o.1"
0.529166666666667,0.00462962962962963,26,"o","o.1"
0.489583333333333,0,27,"o","o.1"
0.452083333333333,0.00925925925925926,28,"o","o.1"
0.433333333333333,0.0185185185185185,29,"o","o.1"
0.39375,0.0555555555555556,30,"o","o.1"
0.366666666666667,0.0972222222222222,31,"o","o.1"
